material,thickness,laser_power_mean,laser_power_median,laser_power_std,laser_power_count,feedrate_e01_mean,feedrate_e01_median,feedrate_e01_std,gas_pressure_mean,gas_pressure_median
acero_carbono,1.0,7000.0,7000.0,1414.213562373095,2,52500.0,52500.0,24748.737341529162,12.5,12.5
acero_carbono,1.5,8000.0,8000.0,0.0,2,51000.0,51000.0,12727.922061357855,12.0,12.0
acero_carbono,2.0,8000.0,8000.0,0.0,3,22833.333333333332,30000.0,16928.77235163062,9.166666666666666,13.0
acero_carbono,3.0,8000.0,8000.0,0.0,3,16733.333333333332,22000.0,11815.808619528896,10.200000000000001,13.0
acero_carbono,4.0,6666.666666666667,6000.0,1154.7005383792516,3,15000.0,20000.0,10440.30650891055,9.533333333333333,13.0
acero_carbono,5.0,7000.0,7000.0,1154.7005383792514,4,9750.0,9100.0,7891.556669419961,7.05,6.3
acero_carbono,6.0,7333.333333333333,8000.0,1154.7005383792516,3,9233.333333333334,10000.0,6185.736280616345,9.9,13.0
acero_carbono,8.0,8000.0,8000.0,0.0,3,6833.333333333333,8200.0,4027.81992315115,10.866666666666667,16.0
acero_carbono,10.0,8000.0,8000.0,0.0,4,4350.0,4000.0,2838.426794311713,5.0375,4.8
acero_carbono,12.0,6000.0,6000.0,,1,1600.0,1600.0,,0.5,0.5
acero_carbono,15.0,6666.666666666667,6000.0,1154.7005383792514,3,2400.0,1900.0,1417.7446878757826,3.4333333333333336,0.7
acero_carbono,20.0,6000.0,6000.0,,1,1500.0,1500.0,,0.7,0.7
acero_carbono,25.0,6000.0,6000.0,0.0,2,950.0,950.0,212.13203435596427,0.9,0.9
acero_carbono,30.0,6000.0,6000.0,,1,820.0,820.0,,0.8,0.8
acero_inox,1.0,8000.0,8000.0,0.0,2,60000.0,60000.0,14142.13562373095,10.0,10.0
acero_inox,1.5,8000.0,8000.0,0.0,2,46000.0,46000.0,8485.28137423857,12.0,12.0
acero_inox,2.0,8000.0,8000.0,0.0,2,40000.0,40000.0,0.0,12.0,12.0
acero_inox,2.5,6000.0,6000.0,,1,27000.0,27000.0,,10.0,10.0
acero_inox,3.0,8000.0,8000.0,,1,30000.0,30000.0,,12.0,12.0
acero_inox,4.0,8000.0,8000.0,0.0,2,19000.0,19000.0,4242.640687119285,11.0,11.0
acero_inox,5.0,6000.0,6000.0,0.0,2,15500.0,15500.0,707.1067811865476,13.0,13.0
