MATERIAL	ESPESOR
ACERO AL CARBONO	1	
ACERO AL CARBONO	1,5
ACERO AL CARBONO	2
ACERO AL CARBONO	3
ACERO AL CARBONO	4
ACERO AL CARBONO	5
ACERO AL CARBONO	6
ACERO AL CARBONO	8
ACERO AL CARBONO	10
ACERO AL CARBONO	12
ACERO AL CARBONO	15	
ACERO AL CARBONO	20	
ACERO AL CARBONO	25
	
ACERO AL CARBONO N2	1
ACERO AL CARBONO N2	1,5
ACERO AL CARBONO N2	2
ACERO AL CARBONO N2	3
ACERO AL CARBONO N2	4
ACERO AL CARBONO N2	5
ACERO AL CARBONO N2	6
	
ACERO INOXIDABLE	1
ACERO INOXIDABLE	1.5
ACERO INOXIDABLE	2
ACERO INOXIDABLE	3
ACERO INOXIDABLE	4
ACERO INOXIDABLE	5
ACERO INOXIDABLE	6
ACERO INOXIDABLE	8
ACERO INOXIDABLE	10
ACERO INOXIDABLE	12
ACERO INOXIDABLE	15
ACERO INOXIDABLE	20
	
ALUMINIO	1
ALUMINIO	1.5
ALUMINIO	2
ALUMINIO	3
ALUMINIO	4
ALUMINIO	5
ALUMINIO	6
ALUMINIO	8
ALUMINIO	10
ALUMINIO	12
ALUMINIO	15
	
	
	
	
	
	
	
ALUMINIO AIRE	1
ALUMINIO AIRE	1.5
ALUMINIO AIRE	2
ALUMINIO AIRE	3
ALUMINIO AIRE	4
ALUMINIO AIRE	5
	
	
GALVANIZADO	0,8
GALVANIZADO	1
GALVANIZADO	1,2
GALVANIZADO	1.5
GALVANIZADO	2
GALVANIZADO	3
GALVANIZADO	4
	
	
GALVANIZADO AIRE	0,8
GALVANIZADO AIRE	1
GALVANIZADO AIRE	1,2
GALVANIZADO AIRE	1.5
GALVANIZADO AIRE	2
GALVANIZADO AIRE	3
GALVANIZADO AIRE	4
	
LATON	1
LATON	1.5
LATON	2
LATON	3
LATON	4
LATON	5
LATON	6
	
COBRE	1
COBRE	1.5
COBRE	2
COBRE	3
COBRE	4
COBRE	5
