piece_reference,piece_id,robot_group,piece_file,has_any_valid,valid_count,invalid_count,valid_tools,invalid_tools,best_valid_tool,best_valid_fxmin
W56197504,11,ANTHRO,OUT_cnc/ID11_W56197504.cnc,True,16,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,H04_pos0_tool,-60101.30979425238
W56197506,1,ANTHRO,OUT_cnc/ID1_W56197506.cnc,True,8,4,H04_pos0_tool;H04_pos1_tool;H04_pos0_tool;H04_pos1_tool;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,tool_A;tool_B;tool_A;tool_B,H04_pos0_tool,-39892.18640320845
W56197510,3,SCARA,SCARA/OUT_cnc/ID3_W56197510.cnc,True,16,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,H04_pos1_tool,-4796.489221330759
W56197513,10,SCARA,SCARA/OUT_cnc/ID10_W56197513.cnc,True,16,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-2101.825277864991
W56197513S,1,SCARA,SCARA/OUT_cnc/ID1_W56197513S.cnc,True,20,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-2168.119438689447
W56197514,2,SCARA,SCARA/OUT_cnc/ID2_W56197514.cnc,True,16,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-3365.0614138285055
W56197519,1,SCARA,SCARA/OUT_cnc/ID1_W56197519.cnc,True,12,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,H04_pos0_tool,-4843.552085078449
W56197520,11,SCARA,SCARA/OUT_cnc/ID11_W56197520.cnc,True,16,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-5043.152229147702
W56197522,10,SCARA,SCARA/OUT_cnc/ID10_W56197522.cnc,True,16,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-3474.227839669152
W56240401,11,ANTHRO,OUT_cnc/ID11_W56240401.cnc,False,0,4,,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,
W56240402,15,ANTHRO,OUT_cnc/ID15_W56240402.cnc,False,0,4,,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,
W56240403,5,ANTHRO,OUT_cnc/ID5_W56240403.cnc,True,2,2,H04_pos0_tool;H04_pos1_tool,tool_A;tool_B,H04_pos1_tool,-26175.861921564316
W56240404,16,ANTHRO,OUT_cnc/ID16_W56240404.cnc,True,1,3,tool_B,H04_pos0_tool;H04_pos1_tool;tool_A,tool_B,-228.86454350096093
W56240405,13,ANTHRO,OUT_cnc/ID13_W56240405.cnc,True,2,2,H04_pos0_tool;H04_pos1_tool,tool_A;tool_B,H04_pos0_tool,-52129.453332733225
W56240406,6,ANTHRO,OUT_cnc/ID6_W56240406.cnc,True,2,2,H04_pos0_tool;H04_pos1_tool,tool_A;tool_B,H04_pos0_tool,-28906.33349499703
W56240407,10,SCARA,SCARA/OUT_cnc/ID10_W56240407.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-6701.816004960808
W56240408,7,SCARA,SCARA/OUT_cnc/ID7_W56240408.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_A,-9130.64416468757
W56240409,1,SCARA,SCARA/OUT_cnc/ID1_W56240409.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-2871.232835293304
W56240410,3,SCARA,SCARA/OUT_cnc/ID3_W56240410.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-5305.295426723946
W56240411A,14,SCARA,SCARA/OUT_cnc/ID14_W56240411A.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-5250.143734231931
W56240411B,12,SCARA,SCARA/OUT_cnc/ID12_W56240411B.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-5064.262716983586
W56240412,8,SCARA,SCARA/OUT_cnc/ID8_W56240412.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,H04_pos1_tool,-5221.347877914413
W56240413,4,SCARA,SCARA/OUT_cnc/ID4_W56240413.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,H04_pos0_tool,-18927.46271740734
W56240414,2,SCARA,SCARA/OUT_cnc/ID2_W56240414.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-1894.9236593202102
W56240415,2,SCARA,SCARA/OUT_cnc/ID2_W56240415.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-7652.7380750202465
W56240420,1,SCARA,SCARA/OUT_cnc/ID1_W56240420.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-3472.0363148687125
W56240422,9,SCARA,SCARA/OUT_cnc/ID9_W56240422.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-1871.4828045516133
W56244401,10,ANTHRO,OUT_cnc/ID10_W56244401.cnc,True,8,8,H04_pos0_tool;H04_pos1_tool;H04_pos0_tool;H04_pos1_tool;H04_pos0_tool;H04_pos1_tool;H04_pos0_tool;H04_pos1_tool,tool_A;tool_B;tool_A;tool_B;tool_A;tool_B;tool_A;tool_B,H04_pos0_tool,-55891.05534110737
W56244402,3,ANTHRO,OUT_cnc/ID3_W56244402.cnc,True,6,6,H04_pos0_tool;H04_pos1_tool;H04_pos0_tool;H04_pos1_tool;H04_pos0_tool;H04_pos1_tool,tool_A;tool_B;tool_A;tool_B;tool_A;tool_B,H04_pos1_tool,-39998.45535624291
W56244403,13,ANTHRO,OUT_cnc/ID13_W56244403.cnc,True,10,2,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool,tool_A;tool_B,H04_pos1_tool,-39912.56810118785
W56322224,4,SCARA,SCARA/OUT_cnc/ID4_W56322224.cnc,True,1,3,tool_B,H04_pos0_tool;H04_pos1_tool;tool_A,tool_B,-1636.1381760259521
W56322228,3,SCARA,SCARA/OUT_cnc/ID3_W56322228.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-4040.440206505958
W56337205,2,ANTHRO,OUT_cnc/ID2_W56337205.cnc,True,12,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,H04_pos0_tool,-60347.96819609041
W56337209,12,SCARA,SCARA/OUT_cnc/ID12_W56337209.cnc,True,16,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-4711.739018024731
W56378914,2,SCARA,SCARA/OUT_cnc/ID2_W56378914.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-5931.569762237864
W56397703A,11,ANTHRO,OUT_cnc/ID11_W56397703A.cnc,False,0,4,,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,
W56397706,1,ANTHRO,OUT_cnc/ID1_W56397706.cnc,True,8,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-15450.824866677933
W56397725,4,SCARA,SCARA/OUT_cnc/ID4_W56397725.cnc,False,0,4,,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,
W56397732,1,SCARA,SCARA/OUT_cnc/ID1_W56397732.cnc,True,8,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-1690.5331709307598
W56397733,3,SCARA,SCARA/OUT_cnc/ID3_W56397733.cnc,True,8,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-8793.887607963778
W56397735,1,SCARA,SCARA/OUT_cnc/ID1_W56397735.cnc,True,8,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,H04_pos0_tool,-23475.49565931305
